,TSNE_1,TSNE_2,ClusterName
292,65.958206,-2.5733848,SCGLU6
293,66.49115,-0.630329,SCGLU6
294,71.473625,-7.804299,SCGLU6
295,66.83439,3.872121,SCGLU6
296,69.21697,-2.4589593,SCGLU6
297,9.0071535,50.899742,SCGLU6
298,71.62159,0.6024358,SCGLU6
299,69.93129,-8.450838,SCGLU6
300,65.689186,-1.80731,SCGLU6
301,66.83062,1.7260008,SCGLU6
302,68.85152,-0.7127542,SCGLU6
303,66.57982,2.3489892,SCGLU6
304,62.15874,2.8116562,SCGLU6
305,-11.045155,21.441069,SCGLU6
306,70.84283,-6.217688,SCGLU6
307,72.255455,3.2752812,SCGLU6
308,67.65974,-3.1406488,SCGLU6
309,64.87356,-1.3324353,SCGLU6
310,64.30916,-3.3380265,SCGLU6
311,68.52654,1.046106,SCGLU6
312,70.38484,-1.0022343,SCGLU6
313,65.2944,-2.2221122,SCGLU6
314,67.01128,1.5845245,SCGLU6
315,68.62818,-2.3926225,SCGLU6
316,67.29153,-1.1915578,SCGLU6
317,70.35336,-10.201762,SCGLU6
318,71.74017,-0.93679166,SCGLU6
319,68.9083,-10.770909,SCGLU6
320,70.787964,0.14014862,SCGLU6
321,0.05183778,-16.771122,SCGLU6
322,-28.026333,-20.077868,SCGLU6
323,69.92577,-6.880025,SCGLU6
324,-8.704725,-13.59432,SCGLU6
325,69.08634,2.9148355,SCGLU6
326,8.545934,49.36407,SCGLU6
327,65.49,1.0022364,SCGLU6
328,-0.49564362,-16.134956,SCGLU6
329,64.26391,2.362552,SCGLU6
330,8.114191,53.1092,SCGLU6
331,72.215164,-11.466741,SCGLU6
332,67.874115,-2.8770454,SCGLU6
333,70.60673,3.5513208,SCGLU6
334,70.31319,-7.7490034,SCGLU6
335,71.50109,-0.04516715,SCGLU6
336,66.724655,0.45338908,SCGLU6
337,66.714226,-4.587173,SCGLU6
338,70.91035,-2.705727,SCGLU6
339,62.533695,-2.337845,SCGLU6
340,62.383415,-0.7720129,SCGLU6
341,-9.182378,-21.791643,SCGLU6
342,67.440346,1.0611372,SCGLU6
343,-6.135644,-10.39741,SCGLU6
344,61.843014,0.44850686,SCGLU6
345,71.247665,-9.820655,SCGLU6
346,70.15971,-9.398964,SCGLU6
347,72.31104,-8.6402235,SCGLU6
348,62.51354,0.56501853,SCGLU6
349,73.2629,-0.8826038,SCGLU6
350,65.91224,-1.1169193,SCGLU6
351,8.639386,52.767204,SCGLU6
352,8.936577,49.926933,SCGLU6
353,63.451645,-1.592139,SCGLU6
354,63.16714,-3.866636,SCGLU6
355,69.674164,-9.160819,SCGLU6
356,46.601078,-8.156528,SCGLU6
357,67.262726,3.7738202,SCGLU6
358,69.1804,-3.822031,SCGLU6
359,72.86279,-11.084132,SCGLU6
360,68.91263,-0.2462346,SCGLU6
361,71.45847,-8.831696,SCGLU6
362,-1.9762005,-15.002211,SCGLU6
363,62.492294,2.5924797,SCGLU6
364,66.565056,4.9021,SCGLU6
365,68.88696,4.706015,SCGLU6
366,63.90515,-1.1587542,SCGLU6
367,67.62079,0.4975181,SCGLU6
368,-58.627045,-6.9547386,SCGLU6
369,67.69729,3.5609014,SCGLU6
370,9.985845,52.30061,SCGLU6
371,68.37504,-10.605688,SCGLU6
372,68.6703,2.198703,SCGLU6
373,63.67502,-0.26126254,SCGLU6
374,67.266624,-4.7007475,SCGLU6
375,-1.6815625,-14.957225,SCGLU6
376,65.73966,-3.872241,SCGLU6
377,71.385544,1.577391,SCGLU6
378,69.84793,-10.616707,SCGLU6
379,65.17195,-0.15855473,SCGLU6
380,17.593533,48.588524,SCGLU6
381,71.02612,-10.574905,SCGLU6
382,63.35178,1.2478783,SCGLU6
383,68.714,-8.953428,SCGLU6
384,65.84543,2.656643,SCGLU6
385,66.16212,-2.4097097,SCGLU6
386,69.68642,3.071637,SCGLU6
387,9.154261,53.31108,SCGLU6
388,70.964615,-7.228471,SCGLU6
389,68.78729,-3.0947058,SCGLU6
390,67.16037,-2.8366427,SCGLU6
391,69.15444,-9.920617,SCGLU6
392,3.9430685,-26.14598,SCGLU2
393,-22.057613,-16.532148,SCGLU2
394,-3.6968954,-10.437138,SCGLU2
395,-8.00444,-31.520409,SCGLU2
396,-6.0797777,-35.5842,SCGLU2
397,-1.7035496,-26.614239,SCGLU2
398,-2.2013135,-9.964788,SCGLU2
399,-21.37067,-11.280681,SCGLU2
400,5.23233,-26.42365,SCGLU2
401,-5.784641,-32.439476,SCGLU2
402,5.189189,-21.58574,SCGLU2
403,5.0355124,-25.87175,SCGLU2
404,1.9773968,-22.79567,SCGLU2
405,7.677564,-23.8115,SCGLU2
406,3.6809795,-33.265575,SCGLU2
407,0.36634153,-25.121712,SCGLU2
408,-2.2670834,-22.853058,SCGLU2
409,-12.759165,10.630024,SCGLU2
410,4.5335784,38.85644,SCGLU2
411,1.9687059,-27.07436,SCGLU2
412,6.346925,38.466587,SCGLU2
413,8.009492,-24.813265,SCGLU2
414,9.236301,-31.628454,SCGLU2
415,3.5602152,-28.35056,SCGLU2
416,5.346488,-29.145689,SCGLU2
417,-3.7713618,-29.187065,SCGLU2
418,2.534191,-24.35738,SCGLU2
419,-0.39641753,-28.048239,SCGLU2
