,TSNE_1,TSNE_2,ClusterName
102,45.46112,-2.4796178,SCGLU5
103,33.075443,-10.108157,SCGLU5
104,46.26109,-0.9212512,SCGLU5
105,51.387257,7.1812787,SCGLU5
106,32.358418,-8.724894,SCGLU5
107,48.11054,2.885803,SCGLU5
108,48.470654,1.468738,SCGLU5
109,32.654015,-8.788476,SCGLU5
110,50.13944,7.880946,SCGLU5
111,47.079365,0.93817127,SCGLU5
112,50.461124,3.7620885,SCGLU5
113,36.770462,-14.197921,SCGLU5
114,49.241154,8.090498,SCGLU5
115,51.51037,5.5370636,SCGLU5
116,49.401703,6.4012365,SCGLU5
117,33.85525,-3.7967675,SCGLU5
118,49.450867,1.2616738,SCGLU5
119,50.903675,0.693357,SCGLU5
120,52.003853,2.496325,SCGLU5
121,48.674564,0.8700296,SCGLU5
122,48.534904,5.3544927,SCGLU5
123,50.134247,-0.19782841,SCGLU5
124,46.53828,-3.9651031,SCGLU5
125,31.497297,-12.643918,SCGLU5
126,29.296768,-8.123639,SCGLU5
127,31.661829,-4.941491,SCGLU5
128,41.374306,3.676066,SCGLU5
129,36.561394,-11.17344,SCGLU5
130,46.38921,-1.9881662,SCGLU5
131,48.727383,6.455384,SCGLU5
132,46.114567,-2.1949914,SCGLU5
133,50.70949,5.656303,SCGLU5
134,52.018986,0.23060335,SCGLU5
135,37.76111,-14.745347,SCGLU5
136,36.41142,-15.403124,SCGLU5
137,49.613697,7.2822905,SCGLU5
138,33.416084,-3.850237,SCGLU5
139,51.479927,-2.5560856,SCGLU5
140,35.224083,4.1572146,SCGLU5
141,35.47476,-15.578456,SCGLU5
142,34.727657,-17.723457,SCGLU5
143,34.017895,-5.5190134,SCGLU5
144,48.58833,-0.89158046,SCGLU5
145,33.67493,-9.293618,SCGLU5
146,34.38046,-11.493769,SCGLU5
147,48.297703,0.8213807,SCGLU5
148,38.468,0.4109063,SCGLU5
149,33.9523,-10.834522,SCGLU5
150,33.342983,-9.474767,SCGLU5
151,34.663807,-13.459629,SCGLU5
152,47.61782,-2.592499,SCGLU5
153,-7.7343535,45.957462,SCGLU5
154,50.367817,3.0930653,SCGLU5
155,38.837013,-10.0002985,SCGLU5
156,44.622646,-0.5020223,SCGLU5
157,39.16259,-7.9298377,SCGLU5
158,48.33143,12.726092,SCGLU5
159,32.259285,-12.016295,SCGLU5
160,32.8596,-11.760064,SCGLU5
161,48.95513,7.082055,SCGLU5
162,34.865562,-8.234437,SCGLU5
163,51.264877,-0.63238823,SCGLU5
164,49.971287,-0.92616636,SCGLU5
165,49.043476,-0.6454271,SCGLU5
166,45.54007,-1.9767128,SCGLU5
167,39.212597,-13.889504,SCGLU5
168,48.871582,8.091472,SCGLU5
169,45.927826,-3.5051801,SCGLU5
170,46.94403,7.965765,SCGLU5
171,31.210588,-4.5903635,SCGLU5
172,39.69104,-8.966441,SCGLU5
173,39.8464,5.024859,SCGLU5
174,32.136696,-11.408612,SCGLU5
175,35.95109,2.1631808,SCGLU5
176,39.22681,-9.007666,SCGLU5
177,45.432426,6.6762605,SCGLU5
178,42.405678,5.910764,SCGLU5
179,46.776386,7.245163,SCGLU5
180,-31.855825,-54.880302,SCGLU5
181,41.37322,4.418096,SCGLU5
182,-29.502169,-53.531372,SCGLU5
183,38.689407,1.5851562,SCGLU5
184,43.150036,5.8834825,SCGLU5
185,-30.216793,-52.534424,SCGLU5
186,48.46976,5.136401,SCGLU5
187,34.672222,-15.111769,SCGLU5
188,36.74,1.327482,SCGLU5
189,25.69405,11.785522,SCGLU5
190,29.613384,-8.395621,SCGLU5
191,35.25265,2.6161578,SCGLU5
192,-30.815554,-52.388393,SCGLU5
193,32.356266,-10.835233,SCGLU5
194,40.14971,2.7137847,SCGLU5
195,-31.708328,-52.25329,SCGLU5
196,47.7934,6.9959774,SCGLU5
197,30.432825,-6.199195,SCGLU5
198,-32.93148,-55.02125,SCGLU5
199,44.972725,5.071662,SCGLU5
200,-31.478127,-52.45206,SCGLU5
201,31.13641,-6.520392,SCGLU5
202,3.0809782,-15.78426,SCGLU5
203,39.73945,-10.521156,SCGLU5
204,50.1925,4.905929,SCGLU5
205,-32.14011,-54.40633,SCGLU5
206,35.65325,2.7494314,SCGLU5
207,-32.66735,-54.148903,SCGLU5
208,38.222927,2.291743,SCGLU5
209,36.82319,5.488503,SCGLU5
210,31.632748,-5.896102,SCGLU5
211,38.03494,-2.3725395,SCGLU5
212,36.821995,-10.230079,SCGLU5
213,31.846205,-12.07759,SCGLU5
214,34.519142,-13.141769,SCGLU5
215,51.27361,3.8315687,SCGLU5
216,46.015697,3.6453786,SCGLU5
217,29.058348,-7.4592047,SCGLU5
218,-13.0457535,-24.582376,SCGLU5
219,41.03275,-8.969023,SCGLU5
220,52.39197,4.6144276,SCGLU5
221,37.79132,6.434814,SCGLU5
222,38.90224,2.8318613,SCGLU5
223,36.417885,-10.792473,SCGLU5
224,51.31166,2.9176548,SCGLU5
225,36.008667,-11.637979,SCGLU5
226,36.321377,-1.7658795,SCGLU5
227,36.609676,-5.5296993,SCGLU5
228,50.01451,-2.2569675,SCGLU5
229,49.269955,0.3850335,SCGLU5
230,49.99631,6.3603754,SCGLU5
231,50.073986,0.82148314,SCGLU5
232,49.41639,1.8307152,SCGLU5
233,40.3672,-8.890324,SCGLU5
234,49.25282,3.7713008,SCGLU5
235,-16.39782,-37.05382,SCGLU5
