entity_id,state,last_changed
sensor.bed_temperature,24.085725397666664,2025-05-29T17:00:00.000Z
sensor.bed_temperature,24.323831557166667,2025-05-29T18:00:00.000Z
sensor.bed_temperature,24.46192271647222,2025-05-29T19:00:00.000Z
sensor.bed_temperature,24.56193015036111,2025-05-29T20:00:00.000Z
sensor.bed_temperature,24.600000000000005,2025-05-29T21:00:00.000Z
sensor.bed_temperature,24.600000000000005,2025-05-29T22:00:00.000Z
sensor.bed_temperature,24.53804859113889,2025-05-29T23:00:00.000Z
sensor.bed_temperature,24.5,2025-05-30T00:00:00.000Z
sensor.bed_temperature,24.43803418408333,2025-05-30T01:00:00.000Z
sensor.bed_temperature,24.33802713211111,2025-05-30T02:00:00.000Z
sensor.bed_temperature,24.23801995322222,2025-05-30T03:00:00.000Z
sensor.bed_temperature,24.076025556555553,2025-05-30T04:00:00.000Z
sensor.bed_temperature,23.938005713472222,2025-05-30T05:00:00.000Z
sensor.bed_temperature,23.83799864511111,2025-05-30T06:00:00.000Z
sensor.bed_temperature,23.73799178033333,2025-05-30T07:00:00.000Z
sensor.bed_temperature,23.637984261694445,2025-05-30T08:00:00.000Z
sensor.bed_temperature,23.537977200055554,2025-05-30T09:00:00.000Z
sensor.bed_temperature,23.5,2025-05-30T10:00:00.000Z
sensor.bed_temperature,23.437962833416666,2025-05-30T11:00:00.000Z
sensor.bed_temperature,23.275911875944445,2025-05-30T12:00:00.000Z
sensor.bed_temperature,23.2,2025-05-30T13:00:00.000Z
sensor.bed_temperature,23.262058267805557,2025-05-30T14:00:00.000Z
sensor.bed_temperature,23.486196135,2025-05-30T15:00:00.000Z
sensor.bed_temperature,23.848290532222222,2025-05-30T16:00:00.000Z
sensor.bed_temperature,24.310398976666665,2025-05-30T17:00:00.000Z
sensor.bed_temperature,24.686259960166666,2025-05-30T18:00:00.000Z
sensor.bed_temperature,24.986281474416668,2025-05-30T19:00:00.000Z
sensor.bed_temperature,25.22420208866667,2025-05-30T20:00:00.000Z
sensor.bed_temperature,25.424215952666668,2025-05-30T21:00:00.000Z
sensor.bed_temperature,25.5,2025-05-30T22:00:00.000Z
sensor.bed_temperature,25.5,2025-05-30T23:00:00.000Z
sensor.bed_temperature,25.437870530416664,2025-05-31T00:00:00.000Z
sensor.bed_temperature,25.33786327858333,2025-05-31T01:00:00.000Z
sensor.bed_temperature,25.237855964083334,2025-05-31T02:00:00.000Z
sensor.bed_temperature,25.137848878083332,2025-05-31T03:00:00.000Z
sensor.bed_temperature,25.03784184897222,2025-05-31T04:00:00.000Z
sensor.bed_temperature,24.875669115500003,2025-05-31T05:00:00.000Z
sensor.bed_temperature,24.737827438805557,2025-05-31T06:00:00.000Z
sensor.bed_temperature,24.575640722111114,2025-05-31T07:00:00.000Z
sensor.bed_temperature,24.5,2025-05-31T08:00:00.000Z
sensor.bed_temperature,24.3756121325,2025-05-31T09:00:00.000Z
sensor.bed_temperature,24.175597885166667,2025-05-31T10:00:00.000Z
sensor.bed_temperature,24.100000000000005,2025-05-31T11:00:00.000Z
sensor.bed_temperature,23.97557007861111,2025-05-31T12:00:00.000Z
sensor.bed_temperature,23.837777803222224,2025-05-31T13:00:00.000Z
sensor.bed_temperature,23.862229653472223,2025-05-31T14:00:00.000Z
sensor.bed_temperature,24.086709395,2025-05-31T15:00:00.000Z
sensor.bed_temperature,24.386730656416663,2025-05-31T16:00:00.000Z
sensor.bed_temperature,24.68675252866667,2025-05-31T17:00:00.000Z
sensor.bed_temperature,24.986773959416666,2025-05-31T18:00:00.000Z
sensor.bed_temperature,25.286796088166668,2025-05-31T19:00:00.000Z
sensor.bed_temperature,25.58681763683333,2025-05-31T20:00:00.000Z
sensor.bed_temperature,25.7,2025-05-31T21:00:00.000Z
sensor.bed_temperature,25.7,2025-05-31T22:00:00.000Z
sensor.bed_temperature,25.637691790416667,2025-06-01T01:00:00.000Z
sensor.bed_temperature,25.537684716055555,2025-06-01T02:00:00.000Z
sensor.bed_temperature,25.43767760733333,2025-06-01T03:00:00.000Z
sensor.bed_temperature,25.275341128888886,2025-06-01T04:00:00.000Z
sensor.bed_temperature,25.13766368702778,2025-06-01T05:00:00.000Z
sensor.bed_temperature,25.03765639822222,2025-06-01T06:00:00.000Z
sensor.bed_temperature,24.8752983295,2025-06-01T07:00:00.000Z
sensor.bed_temperature,24.8,2025-06-01T08:00:00.000Z
sensor.bed_temperature,24.675269717333336,2025-06-01T09:00:00.000Z
sensor.bed_temperature,24.53762807713889,2025-06-01T10:00:00.000Z
sensor.bed_temperature,24.5,2025-06-01T11:00:00.000Z
sensor.bed_temperature,24.437613800444442,2025-06-01T12:00:00.000Z
sensor.bed_temperature,24.399999999999995,2025-06-01T13:00:00.000Z
sensor.bed_temperature,24.337599233861113,2025-06-01T14:00:00.000Z
sensor.bed_temperature,24.237592277944444,2025-06-01T15:00:00.000Z
